,series
1259,11.089517135798168
1007,11.254189968552817
1147,10.893167621264645
478,10.490273717104664
494,11.12154549394652
154,10.962127485638561
1102,9.317895278196945
1166,11.212620052356872
636,11.508719833687696
188,10.872255357854845
189,10.964896292206694
571,9.93914036985058
790,11.175239371923306
780,12.161134189998078
766,10.12901686366082
1196,9.883643964401065
41,11.288114524334732
99,11.105659536357711
1065,11.260381938800737
877,10.816107555520821
1250,9.756304542024463
923,11.563884703567355
208,11.254189968552817
83,9.964522443121997
250,10.683645110085203
76,10.227464909398023
228,10.767905453702943
708,11.058109595587434
409,9.694067896286716
868,10.780175546294757
699,10.510802297245792
991,10.188167121983652
1087,11.064804181259648
593,11.413356147904066
885,11.470547260182666
471,11.026550473300178
561,10.421280845617712
1082,10.446778399351528
945,10.882315804880687
200,11.495795582706762
660,11.089517135798168
649,11.343269598606504
1253,10.952842367862882
858,10.450993742936223
989,10.99575173454406
457,10.872255357854845
873,10.575431525444971
375,10.167903065600154
870,10.9368570721423
211,11.224776083346523
386,10.283659467741664
244,10.959350991490268
746,11.383485348791732
274,10.675061366393813
205,11.21835894902589
363,10.435465480609668
286,10.975895486507364
632,10.695781181367428
220,10.493749152258879
349,10.472336016417996
34,10.881314302543597
85,11.18267988243989
978,10.336863503805128
156,10.419692282932575
697,10.481345086360362
452,11.311195008159336
916,10.842494310694015
1063,10.873255868299653
575,9.493013922696841
464,11.62048037119099
625,10.776844060703754
1192,10.159709917169616
735,10.633572072102883
1204,11.039464987704202
1290,10.104611236292678
1051,10.862092668762644
1241,11.130176383145796
264,10.312386757378574
430,9.570272405833974
547,10.111883206255781
351,11.148752768718731
1173,9.962013031516571
459,10.436872940377548
1097,11.352694739066088
619,9.913097231314559
639,11.758368289071829
927,11.036037392231934
493,10.336863503805128
323,10.780175546294757
1158,10.645680750246626
134,10.369151780182765
613,9.858883414720413
834,11.38409159312676
929,11.02220830408089
10,9.951658096208995
556,9.51682457139056
705,10.653903140886465
675,11.14105450129298
314,9.592332123898705
1199,11.600619368985287
1133,10.598297350181973
701,9.964522443121997
757,11.328642946747566
395,10.188167121983652
525,11.17598591917709
620,11.00021005668577
104,11.17598591917709
932,9.641641633704323
393,11.18267988243989
559,10.401887658299067
125,9.532389087931671
926,11.38409159312676
731,10.450993742936223
536,10.656930001858216
1242,9.866652599193328
1219,11.02220830408089
628,10.435481129939486
808,11.401514683309674
139,10.525211768465944
460,10.274510273088076
900,11.582992127736917
165,11.470547260182666
902,11.383485348791732
226,10.731341589592168
1029,10.960277346350399
180,10.931153634628432
191,9.536242657247662
348,9.902487052202545
306,11.563884703567355
1262,10.104611236292678
986,10.667644768738763
1145,11.52464373704442
1054,11.696022720831856
372,11.671319016786894
828,9.84767881570755
807,10.419692282932575
778,11.947682155153789
404,11.69380197819145
422,11.23889064370897
976,10.885314307876945
1127,11.52253514374866
242,10.765658261746038
17,11.933438384721946
428,11.575963360732533
439,10.301710499387234
1053,10.862092668762644
968,12.030401247333158
819,10.602278775481158
207,11.550632725739694
980,11.144911042902732
969,10.519472871796927
742,11.311846686253432
275,10.545140618545503
1036,10.584910269399515
345,11.004648590381796
861,11.18267988243989
979,11.442360501250736
1244,10.978617394068182
340,9.591968421403333
175,10.104611236292678
37,10.862092668762644
320,11.13950771057468
874,11.49796125761926
1143,11.684869359618002
839,10.3556835631319
453,11.179710318268073
1128,10.872255357854845
791,9.288274273063903
955,12.031987793755118
821,10.969494001455322
521,11.219074000897615
503,9.67600459962282
329,11.853716362735458
994,10.765658261746038
326,10.283659467741664
529,11.203223524960789
1000,11.114428026177658
527,10.104611236292678
1270,10.433899309576924
1085,10.913835810881007
800,11.608398104304563
59,10.003839546462832
